42.5000	1.5167	Europe/Andorra
25.3000	55.3000	Asia/Dubai
34.5167	69.2000	Asia/Kabul
41.3333	19.8333	Europe/Tirane
40.1833	44.5000	Asia/Yerevan
-66.2833	110.5167	Antarctica/Casey
-68.5833	77.9667	Antarctica/Davis
-66.6667	140.0167	Antarctica/DumontDUrville
-67.6000	62.8833	Antarctica/Mawson
-64.8000	-64.1000	Antarctica/Palmer
-67.5667	-68.1333	Antarctica/Rothera
-69.0061	39.5900	Antarctica/Syowa
-72.0114	2.5350	Antarctica/Troll
-78.4000	106.9000	Antarctica/Vostok
-34.6000	-58.4500	America/Argentina/Buenos_Aires
-31.4000	-64.1833	America/Argentina/Cordoba
-24.7833	-65.4167	America/Argentina/Salta
-24.1833	-65.3000	America/Argentina/Jujuy
-26.8167	-65.2167	America/Argentina/Tucuman
-28.4667	-65.7833	America/Argentina/Catamarca
-29.4333	-66.8500	America/Argentina/La_Rioja
-31.5333	-68.5167	America/Argentina/San_Juan
-32.8833	-68.8167	America/Argentina/Mendoza
-33.3167	-66.3500	America/Argentina/San_Luis
-51.6333	-69.2167	America/Argentina/Rio_Gallegos
-54.8000	-68.3000	America/Argentina/Ushuaia
-14.2667	-170.7000	Pacific/Pago_Pago
48.2167	16.3333	Europe/Vienna
-31.5500	159.0833	Australia/Lord_Howe
-42.8833	147.3167	Australia/Hobart
-39.9333	143.8667	Australia/Hobart
-37.8167	144.9667	Australia/Melbourne
-33.8667	151.2167	Australia/Sydney
-31.9500	141.4500	Australia/Adelaide
-27.4667	153.0333	Australia/Brisbane
-20.2667	149.0000	Australia/Brisbane
-34.9167	138.5833	Australia/Adelaide
-12.4667	130.8333	Australia/Darwin
-31.9500	115.8500	Australia/Perth
-31.7167	128.8667	Australia/Eucla
40.3833	49.8500	Asia/Baku
13.1000	-59.6167	America/Barbados
23.7167	90.4167	Asia/Dhaka
50.8333	4.3333	Europe/Brussels
42.6833	23.3167	Europe/Sofia
32.2833	-64.7667	Atlantic/Bermuda
4.9333	114.9167	Asia/Brunei
-16.5000	-68.1500	America/La_Paz
-3.8500	-32.4167	America/Noronha
-1.4500	-48.4833	America/Belem
-8.0500	-34.9000	America/Recife
-7.2000	-48.2000	America/Fortaleza
-9.6667	-35.7167	America/Fortaleza
-12.9833	-38.5167	America/Fortaleza
-23.5333	-46.6167	America/Sao_Paulo
-20.4500	-54.6167	America/Campo_Grande
-15.5833	-56.0833	America/Campo_Grande
-2.4333	-54.8667	America/Belem
-8.7667	-63.9000	America/Boa_Vista
2.8167	-60.6667	America/Boa_Vista
-3.1333	-60.0167	America/Boa_Vista
-6.6667	-69.8667	America/Boa_Vista
-9.9667	-67.8000	America/Rio_Branco
25.0833	-77.3500	America/Nassau
27.4667	89.6500	Asia/Thimphu
53.9000	27.5667	Europe/Minsk
17.5000	-88.2000	America/Belize
47.5667	-52.7167	America/St_Johns
44.6500	-63.6000	America/Halifax
46.2000	-59.9500	America/Halifax
46.1000	-64.7833	America/Halifax
53.3333	-60.4167	America/Halifax
51.4167	-57.1167	America/Blanc-Sablon
43.6500	-79.3833	America/Toronto
49.0167	-88.2667	America/Toronto
48.3833	-89.2500	America/Toronto
63.7333	-68.4667	America/Toronto
